id,year,month,element,day,temp
MX17004,2010,2,tmax,d2,27.3
MX17004,2010,2,tmin,d2,14.4
MX17004,2010,2,tmax,d3,24.1
MX17004,2010,2,tmin,d3,14.4
MX17004,2010,3,tmax,d5,32.1
MX17004,2010,3,tmin,d5,14.2
MX17004,2010,3,tmax,d10,34.5
MX17004,2010,3,tmin,d10,16.8
MX17004,2010,2,tmax,d11,29.7
MX17004,2010,2,tmin,d11,13.4
MX17004,2010,3,tmax,d16,31.1
MX17004,2010,3,tmin,d16,17.6
MX17004,2010,6,tmax,d17,28.0
MX17004,2010,6,tmin,d17,17.5
MX17004,2010,2,tmax,d23,29.9
MX17004,2010,2,tmin,d23,10.7
MX17004,2010,4,tmax,d27,36.3
MX17004,2010,4,tmin,d27,16.7
MX17004,2010,5,tmax,d27,33.2
MX17004,2010,5,tmin,d27,18.2
MX17004,2010,6,tmax,d29,30.1
MX17004,2010,6,tmin,d29,18.0
